Algorithm,Function,Run,Best_Fitness
A-POA,CEC2017_F4,16,453.8370718104416
A-POA,CEC2017_F4,17,467.02742959725504
A-POA,CEC2017_F4,18,474.4161507352218
A-POA,CEC2017_F4,19,459.074915499984
A-POA,CEC2017_F4,20,455.3979491457748
A-POA,CEC2017_F4,21,466.4787578148936
A-POA,CEC2017_F4,22,467.278657733269
A-POA,CEC2017_F4,23,469.2806195412608
A-POA,CEC2017_F4,24,453.9965690314356
A-POA,CEC2017_F4,25,483.01718113717885
A-POA,CEC2017_F4,26,470.43171789661943
A-POA,CEC2017_F4,27,466.9928976582223
A-POA,CEC2017_F4,28,475.9519392519335
A-POA,CEC2017_F4,29,470.6144321176404
A-POA,CEC2017_F4,30,465.6305169694888
A-POA,CEC2017_F4,31,462.4856740824728
A-POA,CEC2017_F4,32,486.7365741278712
A-POA,CEC2017_F4,33,470.3584690974244
A-POA,CEC2017_F4,34,476.6014824827505
A-POA,CEC2017_F4,35,454.3936341132888
A-POA,CEC2017_F4,36,467.16945364183846
A-POA,CEC2017_F4,37,482.7847341194808
A-POA,CEC2017_F4,38,467.7676828005906
A-POA,CEC2017_F4,39,460.4082741498354
A-POA,CEC2017_F4,40,468.7304105760864
A-POA,CEC2017_F4,41,472.448159037264
A-POA,CEC2017_F4,42,460.9499567257226
A-POA,CEC2017_F4,43,471.4376474817001
A-POA,CEC2017_F4,44,470.31838699297185
A-POA,CEC2017_F4,45,470.9629660496616
A-POA,CEC2017_F4,46,449.8285381014671
A-POA,CEC2017_F4,47,479.9604966850598
A-POA,CEC2017_F4,48,453.9330442738874
A-POA,CEC2017_F4,49,450.53560253246496
A-POA,CEC2017_F5,0,500.00000356248023
A-POA,CEC2017_F5,1,500.0000008725124
A-POA,CEC2017_F5,2,500.00000473519833
A-POA,CEC2017_F5,3,500.0000017083182
A-POA,CEC2017_F5,4,500.0000000402233
A-POA,CEC2017_F5,5,500.0000001314827
A-POA,CEC2017_F5,6,500.00000011372674
A-POA,CEC2017_F5,7,500.0000003594894
A-POA,CEC2017_F5,8,500.0000139099273
A-POA,CEC2017_F5,9,500.0000051944567
A-POA,CEC2017_F5,10,500.0000091695048
A-POA,CEC2017_F5,11,500.0000047016999
A-POA,CEC2017_F5,12,500.0000001127206
A-POA,CEC2017_F5,13,500.0000331868879
A-POA,CEC2017_F5,14,500.0000324445502
A-POA,CEC2017_F5,15,500.00000000146366
A-POA,CEC2017_F5,16,500.0000004486519
A-POA,CEC2017_F5,17,500.00000129721064
A-POA,CEC2017_F5,18,500.00001668195097
A-POA,CEC2017_F5,19,500.0000021650862
A-POA,CEC2017_F5,20,500.00001106067305
A-POA,CEC2017_F5,21,500.00000039124853
A-POA,CEC2017_F5,22,500.0000022510556
A-POA,CEC2017_F5,23,500.00000071672355
A-POA,CEC2017_F5,24,500.0000004824234
A-POA,CEC2017_F5,25,500.0000117122279
A-POA,CEC2017_F5,26,500.0000016869113
A-POA,CEC2017_F5,27,500.000000257423
A-POA,CEC2017_F5,28,500.0000038465308
A-POA,CEC2017_F5,29,500.0000006382594
A-POA,CEC2017_F5,30,500.0000002062628
A-POA,CEC2017_F5,31,500.0000062847113
A-POA,CEC2017_F5,32,500.00000467541827
A-POA,CEC2017_F5,33,500.0000001736246
A-POA,CEC2017_F5,34,500.0000074647478
A-POA,CEC2017_F5,35,500.00000003688774
A-POA,CEC2017_F5,36,500.00000232260373
A-POA,CEC2017_F5,37,500.00000001077217
A-POA,CEC2017_F5,38,500.000000290468
A-POA,CEC2017_F5,39,500.0000005877877
A-POA,CEC2017_F5,40,500.0000018035957
A-POA,CEC2017_F5,41,500.0000065267515
A-POA,CEC2017_F5,42,500.00000262077737
A-POA,CEC2017_F5,43,500.0000050852322
A-POA,CEC2017_F5,44,500.0000133905368
A-POA,CEC2017_F5,45,500.000010923894
A-POA,CEC2017_F5,46,500.0000026090697
A-POA,CEC2017_F5,47,500.0000037850588
A-POA,CEC2017_F5,48,500.00000383320867
A-POA,CEC2017_F5,49,500.0000000047959
A-POA,CEC2017_F6,0,724.5554812196772
A-POA,CEC2017_F6,1,714.502259433037
A-POA,CEC2017_F6,2,735.0155144347044
A-POA,CEC2017_F6,3,814.88464378491
A-POA,CEC2017_F6,4,780.4894560733992
A-POA,CEC2017_F6,5,686.3855431810672
A-POA,CEC2017_F6,6,757.1194204616801
A-POA,CEC2017_F6,7,791.555649516024
A-POA,CEC2017_F6,8,769.2821390629593
A-POA,CEC2017_F6,9,715.2350327606081
A-POA,CEC2017_F6,10,762.786976021984
A-POA,CEC2017_F6,11,701.7313388370699
A-POA,CEC2017_F6,12,745.2076106966276
A-POA,CEC2017_F6,13,697.9005104682652
A-POA,CEC2017_F6,14,690.665566256629
A-POA,CEC2017_F6,15,757.4973627750423
A-POA,CEC2017_F6,16,684.1768926008401
A-POA,CEC2017_F6,17,752.3669501717492
A-POA,CEC2017_F6,18,697.8353770951143
A-POA,CEC2017_F6,19,771.1168109714554
A-POA,CEC2017_F6,20,703.6290996924057
A-POA,CEC2017_F6,21,686.655083676177
A-POA,CEC2017_F6,22,743.9784741470517
A-POA,CEC2017_F6,23,697.5693771112678
A-POA,CEC2017_F6,24,735.9823479286846
A-POA,CEC2017_F6,25,720.3326422304792
A-POA,CEC2017_F6,26,720.7166706686519
A-POA,CEC2017_F6,27,717.1958053899623
A-POA,CEC2017_F6,28,740.150677459105
A-POA,CEC2017_F6,29,691.4189892416242
A-POA,CEC2017_F6,30,766.3831077178712
A-POA,CEC2017_F6,31,732.9119130129671
A-POA,CEC2017_F6,32,695.2252350838912
A-POA,CEC2017_F6,33,804.6779507472935
A-POA,CEC2017_F6,34,749.5121057756309
A-POA,CEC2017_F6,35,725.5585288265634
A-POA,CEC2017_F6,36,705.5734373914595
A-POA,CEC2017_F6,37,720.198211113094
A-POA,CEC2017_F6,38,735.6280446506885
A-POA,CEC2017_F6,39,710.0731785697728
A-POA,CEC2017_F6,40,752.5581838120854
A-POA,CEC2017_F6,41,693.1274664598235
A-POA,CEC2017_F6,42,712.4847926254035
A-POA,CEC2017_F6,43,701.717235024052
A-POA,CEC2017_F6,44,711.754359081237
A-POA,CEC2017_F6,45,698.9076456571628
A-POA,CEC2017_F6,46,681.925312713331
A-POA,CEC2017_F6,47,711.7154427312573
A-POA,CEC2017_F6,48,759.8087252670819
A-POA,CEC2017_F6,49,712.683476292748
A-POA,CEC2017_F7,0,738.4853660051278
A-POA,CEC2017_F7,1,746.0000013186084
