Function,Algorithm,Run,Best_Fitness,Source
CEC14_F1,WOA,11,250160.67209918096,resumed
CEC14_F1,HHO,11,4019543.2848192058,resumed
CEC14_F1,AOA,11,42677410.61292199,resumed
CEC14_F1,SCA,11,14134723.415526832,resumed
CEC14_F1,SSA,11,4737753.484762638,resumed
CEC14_F1,Base_POA,12,1329550.9348954584,resumed
CEC14_F1,Proposed_POA,12,298859.1946417119,resumed
CEC14_F1,PSO,12,88922.65065814857,resumed
CEC14_F1,GWO,12,7609687.432606019,resumed
CEC14_F1,WOA,12,16851706.586005136,resumed
CEC14_F1,HHO,12,11890033.040900351,resumed
CEC14_F1,AOA,12,109768006.60762765,resumed
CEC14_F1,SCA,12,8500574.305569652,resumed
CEC14_F1,SSA,12,52551452.092610285,resumed
CEC14_F1,Base_POA,13,373567.1697977694,resumed
CEC14_F1,Proposed_POA,13,1048521.6070136715,resumed
CEC14_F1,PSO,13,921494.677136511,resumed
CEC14_F1,GWO,13,3555362.5875875773,resumed
CEC14_F1,WOA,13,1865453.0400303272,resumed
CEC14_F1,HHO,13,9486602.345697328,resumed
CEC14_F1,AOA,13,1072493487.6404592,resumed
CEC14_F1,SCA,13,13730245.03845453,resumed
CEC14_F1,SSA,13,8099731.169430916,resumed
CEC14_F1,Base_POA,14,585848.7670600825,resumed
CEC14_F1,Proposed_POA,14,1356072.1095890508,resumed
CEC14_F1,PSO,14,2851478.609524243,resumed
CEC14_F1,GWO,14,16496337.76949035,resumed
CEC14_F1,WOA,14,13596681.90182937,resumed
CEC14_F1,HHO,14,19032711.471261486,resumed
CEC14_F1,AOA,14,259124347.75609028,resumed
CEC14_F1,SCA,14,11732166.972586185,resumed
CEC14_F1,SSA,14,66307108.05111793,resumed
CEC14_F1,Base_POA,15,478179.24104965775,resumed
CEC14_F1,Proposed_POA,15,653832.1222740796,resumed
CEC14_F1,PSO,15,1130097.5747895057,resumed
CEC14_F1,GWO,15,4287167.137913996,resumed
CEC14_F1,WOA,15,672426.0189453185,resumed
CEC14_F1,HHO,15,1263885.5718037009,resumed
CEC14_F1,AOA,15,16129753.62710128,resumed
CEC14_F1,SCA,15,15939355.280121952,resumed
CEC14_F1,SSA,15,54856402.83553472,resumed
CEC14_F1,Base_POA,16,385069.1257453625,resumed
CEC14_F1,Proposed_POA,16,635657.1271665076,resumed
CEC14_F1,PSO,16,869476.4369982817,resumed
CEC14_F1,GWO,16,1094346.7962137484,resumed
CEC14_F1,WOA,16,11842512.445803402,resumed
CEC14_F1,HHO,16,10838499.769933838,resumed
CEC14_F1,AOA,16,43458737.40802359,resumed
CEC14_F1,SCA,16,14935201.53872568,resumed
CEC14_F1,SSA,16,65493062.093765914,resumed
CEC14_F1,Base_POA,17,288029.566757022,resumed
CEC14_F1,Proposed_POA,17,963836.8094598054,resumed
CEC14_F1,PSO,17,239803.93042068792,resumed
CEC14_F1,GWO,17,18353382.997566916,resumed
CEC14_F1,WOA,17,7401063.982825369,resumed
CEC14_F1,HHO,17,7950501.726190159,resumed
CEC14_F1,AOA,17,429210338.50427526,resumed
CEC14_F1,SCA,17,16376346.489334244,resumed
CEC14_F1,SSA,17,36714935.64383361,resumed
CEC14_F1,Base_POA,18,321782.1489383231,resumed
CEC14_F1,Proposed_POA,18,908310.9856358812,resumed
CEC14_F1,PSO,18,159085.3774285804,resumed
CEC14_F1,GWO,18,703712.6056128257,resumed
CEC14_F1,WOA,18,306189.73193893605,resumed
CEC14_F1,HHO,18,7639828.013342459,resumed
CEC14_F1,AOA,18,27754797.60027495,resumed
CEC14_F1,SCA,18,26173366.542237017,resumed
CEC14_F1,SSA,18,23494952.90012704,resumed
CEC14_F1,Base_POA,19,239767.317938454,resumed
CEC14_F1,Proposed_POA,19,1507471.6604862986,resumed
CEC14_F1,PSO,19,226981.76107255084,resumed
CEC14_F1,GWO,19,8616898.228657344,resumed
CEC14_F1,WOA,19,3774162.0927724154,resumed
CEC14_F1,HHO,19,12237054.96000327,resumed
CEC14_F1,AOA,19,32497754.936569177,resumed
CEC14_F1,SCA,19,21544013.018822458,resumed
CEC14_F1,SSA,19,41399016.08363051,resumed
CEC14_F1,Base_POA,20,254183.72907324324,resumed
CEC14_F1,Proposed_POA,20,438789.6389239744,resumed
CEC14_F1,PSO,20,958239.454128876,resumed
CEC14_F1,GWO,20,12267963.900133118,resumed
CEC14_F1,WOA,20,4076033.910340663,resumed
CEC14_F1,HHO,20,4595124.113728021,resumed
CEC14_F1,AOA,20,390081924.4263285,resumed
CEC14_F1,SCA,20,17028758.902178135,resumed
CEC14_F1,SSA,20,11803445.369338188,resumed
CEC14_F1,Base_POA,21,1037798.0243446218,resumed
CEC14_F1,Proposed_POA,21,1332523.187187694,resumed
CEC14_F1,PSO,21,2348449.6600961713,resumed
CEC14_F1,GWO,21,7718673.623912313,resumed
CEC14_F1,WOA,21,4668292.847441686,resumed
CEC14_F1,HHO,21,21013663.064669657,resumed
CEC14_F1,AOA,21,132161510.8859787,resumed
CEC14_F1,SCA,21,24593286.713893134,resumed
CEC14_F1,SSA,21,8102134.100209354,resumed
CEC14_F1,Base_POA,22,1012414.5745576404,resumed
CEC14_F1,Proposed_POA,22,249889.30012891477,resumed
CEC14_F1,PSO,22,717069.8009627163,resumed
CEC14_F1,GWO,22,1634721.319503842,resumed
CEC14_F1,WOA,22,7844255.539320276,resumed
CEC14_F1,HHO,22,2713436.05415283,resumed
CEC14_F1,AOA,22,42194578.26975232,resumed
CEC14_F1,SCA,22,7429529.03747717,resumed
CEC14_F1,SSA,22,23043778.99703871,resumed
CEC14_F1,Base_POA,23,592929.8015726984,resumed
CEC14_F1,Proposed_POA,23,895153.7538571786,resumed
CEC14_F1,PSO,23,230604.13687633869,resumed
CEC14_F1,GWO,23,4409218.543949535,resumed
CEC14_F1,WOA,23,6588250.103998742,resumed
CEC14_F1,HHO,23,10549992.22929898,resumed
CEC14_F1,AOA,23,119229009.86646396,resumed
CEC14_F1,SCA,23,15772437.452200577,resumed
CEC14_F1,SSA,23,7575938.103010916,resumed
CEC14_F1,Base_POA,24,729599.7838529593,resumed
CEC14_F1,Proposed_POA,24,1438600.0627607412,resumed
CEC14_F1,PSO,24,282567.3902680635,resumed
CEC14_F1,GWO,24,5453151.133004147,resumed
CEC14_F1,WOA,24,4352085.4436872415,resumed
CEC14_F1,HHO,24,3447593.648417187,resumed
CEC14_F1,AOA,24,23082976.92857148,resumed
CEC14_F1,SCA,24,11145822.465060435,resumed
CEC14_F1,SSA,24,41010874.18574374,resumed
CEC14_F1,Base_POA,25,687985.0563501824,resumed
CEC14_F1,Proposed_POA,25,761705.1778858892,resumed
CEC14_F1,PSO,25,2851522.0933775804,resumed
CEC14_F1,GWO,25,16923113.35126524,resumed
CEC14_F1,WOA,25,16967941.673147798,resumed
CEC14_F1,HHO,25,3088731.5434567607,resumed
CEC14_F1,AOA,25,51435132.2739107,resumed
CEC14_F1,SCA,25,6508266.631137505,resumed
CEC14_F1,SSA,25,14176821.55740691,resumed
CEC14_F1,Base_POA,26,343870.45244500955,resumed
CEC14_F1,Proposed_POA,26,1146873.6950960073,resumed
CEC14_F1,PSO,26,2349432.1757818875,resumed
CEC14_F1,GWO,26,2533940.904428661,resumed
CEC14_F1,WOA,26,5932362.780013966,resumed
CEC14_F1,HHO,26,16221886.143421842,resumed
CEC14_F1,AOA,26,161693806.5964239,resumed
CEC14_F1,SCA,26,14005615.7829094,resumed
CEC14_F1,SSA,26,44888052.75295644,resumed
CEC14_F1,Base_POA,27,871261.1900588071,resumed
CEC14_F1,Proposed_POA,27,1355556.9541265725,resumed
CEC14_F1,PSO,27,9879209.83510953,resumed
CEC14_F1,GWO,27,8193139.680053789,resumed
CEC14_F1,WOA,27,4222518.002179593,resumed
CEC14_F1,HHO,27,22048064.248706102,resumed
CEC14_F1,AOA,27,262203851.20377257,resumed
CEC14_F1,SCA,27,17177153.942529086,resumed
CEC14_F1,SSA,27,87343160.30758364,resumed
CEC14_F1,Base_POA,28,398756.61538554984,resumed
CEC14_F1,Proposed_POA,28,1338178.6117141687,resumed
CEC14_F1,PSO,28,185779.84427010047,resumed
CEC14_F1,GWO,28,7263717.559479091,resumed
CEC14_F1,WOA,28,9484715.49296618,resumed
CEC14_F1,HHO,28,14394378.678757738,resumed
CEC14_F1,AOA,28,50396702.41299061,resumed
CEC14_F1,SCA,28,12277327.729635838,resumed
CEC14_F1,SSA,28,1550084.335998662,resumed
CEC14_F1,Base_POA,29,185562.84029118204,resumed
CEC14_F1,Proposed_POA,29,1488976.8070470188,resumed
CEC14_F1,PSO,29,214640.50654112775,resumed
CEC14_F1,GWO,29,7444853.807255064,resumed
CEC14_F1,WOA,29,1240002.2263343208,resumed
CEC14_F1,HHO,29,7308212.110530514,resumed
CEC14_F1,AOA,29,78375422.23347203,resumed
CEC14_F1,SCA,29,8242702.165764501,resumed
CEC14_F1,SSA,29,29301388.352617987,resumed
CEC14_F1,Base_POA,30,799843.6765713888,resumed
CEC14_F1,Proposed_POA,30,1423918.4652023313,resumed
CEC14_F1,PSO,30,202003.79217544675,resumed
CEC14_F1,GWO,30,4070489.436172419,resumed
CEC14_F1,WOA,30,1167619.457837158,resumed
CEC14_F1,HHO,30,7846609.281029112,resumed
CEC14_F1,AOA,30,39026792.71715427,resumed
CEC14_F1,SCA,30,32893428.037469335,resumed
CEC14_F1,SSA,30,80176722.49593669,resumed
CEC14_F1,Base_POA,31,420169.3309818297,resumed
CEC14_F1,Proposed_POA,31,625638.6309955504,resumed
CEC14_F1,PSO,31,100573.00400065706,resumed
CEC14_F1,GWO,31,8769979.795826621,resumed
CEC14_F1,WOA,31,6795698.597400277,resumed
CEC14_F1,HHO,31,4848341.105289511,resumed
CEC14_F1,AOA,31,24070847.34561635,resumed
CEC14_F1,SCA,31,11266205.535766302,resumed
CEC14_F1,SSA,31,49081718.333899096,resumed
CEC14_F1,Base_POA,32,2027666.2317329089,resumed
CEC14_F1,Proposed_POA,32,207963.84200455615,resumed
CEC14_F1,PSO,32,101273.29427759856,resumed
CEC14_F1,GWO,32,5548604.5140656065,resumed
CEC14_F1,WOA,32,4008446.534780104,resumed
CEC14_F1,HHO,32,10044868.369151652,resumed
CEC14_F1,AOA,32,191303196.83059573,resumed
CEC14_F1,SCA,32,16076845.780259904,resumed
CEC14_F1,SSA,32,41303686.63658997,resumed
CEC14_F1,Base_POA,33,1029158.3591962552,resumed
CEC14_F1,Proposed_POA,33,868854.8956291472,resumed
CEC14_F1,PSO,33,488134.3301995136,resumed
CEC14_F1,GWO,33,10233074.75358738,resumed
CEC14_F1,WOA,33,1492430.044726991,resumed
CEC14_F1,HHO,33,4043915.4068838344,resumed
CEC14_F1,AOA,33,259462804.8744888,resumed
CEC14_F1,SCA,33,18158129.07203004,resumed
CEC14_F1,SSA,33,46394221.271144055,resumed
CEC14_F1,Base_POA,34,374185.1006311082,resumed
CEC14_F1,Proposed_POA,34,1075630.5778553789,resumed
CEC14_F1,PSO,34,206878.04510758023,resumed
CEC14_F1,GWO,34,3953292.766868547,resumed
CEC14_F1,WOA,34,2728702.1767525016,resumed
CEC14_F1,HHO,34,4619097.589191448,resumed
CEC14_F1,AOA,34,158413805.8331881,resumed
CEC14_F1,SCA,34,5805712.70960246,resumed
CEC14_F1,SSA,34,19335847.958970077,resumed
CEC14_F1,Base_POA,35,1001582.550921426,resumed
CEC14_F1,Proposed_POA,35,1061958.2696619886,resumed
CEC14_F1,PSO,35,88669.31298417762,resumed
CEC14_F1,GWO,35,4142430.0712754554,resumed
CEC14_F1,WOA,35,3550694.366620113,resumed
CEC14_F1,HHO,35,17679724.27616823,resumed
CEC14_F1,AOA,35,84584924.44837835,resumed
CEC14_F1,SCA,35,14769745.12950443,resumed
