Algorithm,Function,Run,Best_Fitness
A-POA,CEC2014_F1,0,653336.396053214
A-POA,CEC2014_F1,1,1052517.030815495
A-POA,CEC2017_F1,0,658032.4366943145
A-POA,CEC2017_F1,1,1787779.4571823347
PSO,CEC2014_F1,0,205846.18358119315
PSO,CEC2014_F1,1,11750.333727665928
PSO,CEC2017_F1,0,1135066341.6119273
PSO,CEC2017_F1,1,70058020.79590455
